employee_id;surname;firstname;section_id;role;department_id;employee_rank;phone1;phone2;email_address;number;section_id_2;section_description;department_id_2;department_description
1555;Cohen;Alexandra;606;Public affairs consultant;606;Manager;001-595-925-7899x4513;+1-169-277-1812;acohen@example.com;0;606;Department of hotel;1;Administration
1395;Butler;Evelyn;579;Database administrator;579;Employee;(214)616-7267x637;;ebutler@example.com;0;579;Department of home;1;Administration
1267;Rangel;Heather;131;Financial adviser;131;Manager;001-120-331-3926;464-394-0904x036;hrangel@example.com;0;131;Department of investment;1;Administration
7716;Howard;Kathryn;626;Engineer, manufacturing;626;Assistant Manager;429.959.9508x72386;;khoward@example.com;0;626;Department of set;1;Administration
5637;Fisher;Jonathan;202;Scientist, marine;202;Senior Employee;001-821-051-4711x07548;001-605-088-2732x8730;jfisher@example.com;0;202;Department of surface;1;Administration
9665;Williams;Douglas;542;Animator;542;Manager;2875290893;+1-610-419-4009x5283;dwilliams@example.com;0;542;Department of local;1;Administration
3195;Sullivan;Kyle;825;Sales promotion account executive;825;Employee;+1-486-461-9390x49211;283-572-8744x72801;ksullivan@example.com;0;825;Department of well;1;Administration
3650;Hernandez;Kyle;346;Structural engineer;346;Senior Employee;001-098-560-7895x81218;+1-391-029-5286;khernandez@example.com;0;346;Department of camera;1;Administration
3461;Monroe;Ronald;487;Geophysical data processor;487;Employee;+1-093-280-9134x2830;;rmonroe@example.com;0;487;Department of assume;1;Administration
3851;Garza;Adam;273;Arts development officer;273;Senior Employee;947.315.9854x07435;001-062-620-8600x3640;agarza@example.com;0;273;Department of tax;1;Administration
7556;Shelton;Crystal;589;Computer games developer;589;Senior Employee;001-660-479-8204;;cshelton@example.com;0;589;Department of magazine;1;Administration
3624;Forbes;Alexander;740;Diagnostic radiographer;740;Assistant Manager;451.114.6364;;aforbes@example.com;0;740;Department of adult;1;Administration
8157;Lambert;Christina;142;Actuary;142;Employee;(170)161-5151;+1-485-806-3994x73071;clambert@example.com;0;142;Department of story;1;Administration
5249;Bailey;Ashley;114;Chemical engineer;114;Senior Employee;001-350-438-9627x3175;;abailey@example.com;0;114;Department of soldier;1;Administration
7423;Serrano;Eric;730;Comptroller;730;Employee;+1-773-337-1431x8449;;eserrano@example.com;0;730;Department of soon;1;Administration
3334;Alvarez;Lisa;190;Horticulturist, amenity;190;Manager;+1-228-377-1921x82161;825-412-6523x486;lalvarez@example.com;0;190;Department of floor;1;Administration
2786;Williams;Vanessa;920;Furniture designer;920;Senior Employee;+1-389-806-7742x328;;vwilliams@example.com;0;920;Department of nation;1;Administration
6817;Richards;James;292;Market researcher;292;Manager;373-966-3536x973;;jrichards@example.com;0;292;Department of matter;1;Administration
9003;Arnold;Denise;146;Emergency planning/management officer;146;Employee;783-540-6857x6185;;darnold@example.com;0;146;Department of professor;1;Administration
3059;Blankenship;Ricardo;470;Estate manager/land agent;470;Manager;(886)897-8745;;rblankenship@example.com;0;470;Department of ago;1;Administration
8044;Smith;Monica;981;Customer service manager;981;Employee;798.614.4206x13454;;msmith@example.com;0;981;Department of move;1;Administration
9243;Barnett;Thomas;143;Runner, broadcasting/film/video;143;Senior Employee;680-115-0438x44513;050-077-1451;tbarnett@example.com;0;143;Department of skill;1;Administration
